Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C19, C20, C21, C24, C3, C6, C8",0402,10,0u1,C307331
"C10, C23, C26, C27, C7, C9",1206,6,22u,C12891
"C13, C14, C16, C17, C25",0402,5,1u,C52923
"C15, C18",0402,2,10n,C15195
"C2, C22, C28",0805,3,10u,C440198
"C4, C5",0603,2,20p,C1648
D1,0805,1,GREEN,C2297
"D10, D3, D4, D5, D6, D7, D9",Diode_DFN1006,7,H5VU10U,C22395519
D11,0805,1,YELLOW,C2296
D2,0603,1,WHITE,C2290
"FB1, FB2",0805,2,600Ω@100M,C1015
"R1, R10, R2, R8",0402,4,5k1,C25905
"R11, R4, R5, R7, R9",0402,5,10k,C25744
R3,1206,1,120,C17909
R6,0603,1,560,C23204
"SW1, SW2, SW3",SW_SPST_TS-1088-xR020,3,SW_Push,C720477
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U3,Texas_RRW0024A_WQFN-24-1EP_2x2mm_P0.4mmThermalVias,1,DRV8311H,C5218862
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,AS5600-ASOT,C499458
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8M,C115962
